,MovieRating,DirectorRating,MovieTitle,startYear,class,scaledVotes,decade,Directors
73,7.8,7.05,La fin du jour,1939,Movie Rating > Director Rating,1.0407497058813746,1930,Julien Duvivier
74,6.8,6.85,Her First Affair,1941,Movie Rating < Director Rating,1.0053789611763415,1940,Henri Decoin
75,4.8,4.8,Pikku-Matti maailmalla,1947,Movie Rating = Director Rating,1.0020103188234812,1940,Edvin Laine
76,6.9,6.95,Hoppy Serves a Writ,1943,Movie Rating < Director Rating,1.010486257646807,1940,George Archainbaud
77,6.2,6.6,Bruce Gentry,1949,Movie Rating < Director Rating,1.0021733176470071,1940,Spencer Gordon Bennet
78,5.8,6.6999999999999975,Dreimal Komödie,1949,Movie Rating < Director Rating,1.0007063282352768,1940,Viktor Tourjansky
79,7.0,6.6,Lone Texas Ranger,1945,Movie Rating > Director Rating,1.0020103188234812,1940,Spencer Gordon Bennet
80,6.3,6.65,Crime Doctor,1943,Movie Rating < Director Rating,1.0206465176465631,1940,Michael Gordon
81,6.3,7.05,Destiny,1944,Movie Rating < Director Rating,1.0070089494115964,1940,Julien Duvivier
82,6.0,5.666666666666668,Magnificent Doll,1946,Movie Rating > Director Rating,1.0160825505878492,1940,Frank Borzage
83,6.7,5.8000000000000025,Wild West,1946,Movie Rating > Director Rating,1.0034773082352106,1940,Robert Emmett Tansey
84,6.6,5.6999999999999975,The Pretender,1947,Movie Rating > Director Rating,1.0166258799996009,1940,W. Lee Wilder
85,4.8,4.8,Onnen-Pekka,1948,Movie Rating = Director Rating,1.0017929870587805,1940,Edvin Laine
86,7.2,7.85,Rendezvous in July,1949,Movie Rating < Director Rating,1.0185275329407315,1940,Jacques Becker
87,7.3,5.633333333333333,Die Freunde meiner Frau,1949,Movie Rating > Director Rating,1.0011409917646783,1940,Hans Deppe
88,7.2,6.400000000000001,Border Bandits,1946,Movie Rating > Director Rating,1.0005976623529271,1940,Lambert Hillyer
89,6.3,6.466666666666666,On the Old Spanish Trail,1947,Movie Rating < Director Rating,1.0077152776468736,1940,William Witney
90,7.1,6.85,Circus Cavalcade,1945,Movie Rating > Director Rating,1.0040749705881375,1940,Mario Soffici
91,7.1,5.85,"Murder, He Says",1945,Movie Rating > Director Rating,1.0897580188213745,1940,George Marshall
92,5.8,5.9,Take It Big,1944,Movie Rating < Director Rating,1.0007063282352768,1940,Frank McDonald
93,5.9,6.400000000000001,Hands Across the Rockies,1941,Movie Rating < Director Rating,1.0035316411763855,1940,Lambert Hillyer
94,7.5,6.400000000000001,The Gentleman from Texas,1946,Movie Rating > Director Rating,1.0007063282352768,1940,Lambert Hillyer
95,5.7,5.300000000000002,The Yellow Rose of Texas,1944,Movie Rating > Director Rating,1.0086389376468514,1940,Joseph Kane
96,6.8,7.466666666666666,Sanshiro Sugata,1943,Movie Rating < Director Rating,1.2341206435237906,1940,Akira Kurosawa
