,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,genres1
9520,tt0282702,movie,Lucio Vázquez,Lucio Vázquez,0,1968,85,"Adventure,Drama,War",7.4,5,Adventure
9536,tt0240900,movie,Slackers,Slackers,0,2002,86,"Comedy,Romance",5.4,13704,Comedy
9537,tt0108627,movie,Yin yao hao qing,Yin yao hao qing,0,1992,92,Action,5.6,25,Action
9541,tt0019193,movie,My Man,My Man,0,1928,99,"Drama,Music,Romance",7.3,10,Drama
9544,tt0314577,movie,Reykjavik Guesthouse: Rent a Bike,Reykjavik Guesthouse: Rent a Bike,0,2002,78,Drama,5.7,32,Drama
9548,tt0065089,movie,The Body Stealers,The Body Stealers,0,1969,91,"Horror,Mystery,Sci-Fi",4.1,383,Horror
9549,tt4135932,movie,Lost Conquest,Lost Conquest,0,2015,70,"Comedy,Documentary,Fantasy",9.4,5,Comedy
9550,tt0034063,movie,Her First Affair,Premier rendez-vous,0,1941,105,Comedy,6.8,99,Comedy
9552,tt0083707,movie,Café Flesh,Café Flesh,1,1982,74,"Adult,Comedy,Drama",6.4,808,Adult
9553,tt0484831,movie,Spy School,Spy School,0,2008,86,"Adventure,Comedy,Drama",4.6,1505,Adventure
9555,tt0024040,movie,From Headquarters,From Headquarters,0,1933,64,"Drama,Mystery",6.5,215,Drama
9557,tt1244666,movie,Fish Story,Fisshu sutôrî,0,2009,113,"Action,Comedy,Music",7.6,2728,Action
9560,tt7737928,movie,No Shade,No Shade,0,2018,104,"Comedy,Drama,Romance",6.5,33,Comedy
9561,tt0233170,movie,The Shepherdess' Lover,O agapitikos tis voskopoulas,0,1956,88,"Drama,Romance",5.5,24,Drama
9563,tt0050468,movie,Gunfight at the O.K. Corral,Gunfight at the O.K. Corral,0,1957,122,"Biography,Drama,Western",7.2,13852,Biography
9566,tt1826583,movie,A Bitter Taste of Freedom,A Bitter Taste of Freedom,0,2011,85,"Documentary,History",7.3,87,Documentary
9568,tt5584756,movie,Mademoiselle Paradis,Licht,0,2017,97,"Drama,History",6.5,635,Drama
9570,tt0026264,movie,The Dark Angel,The Dark Angel,0,1935,106,"Drama,Romance",6.7,695,Drama
9571,tt4778988,movie,LBJ,LBJ,0,2016,98,"Biography,Drama,History",6.5,5760,Biography
9573,tt0176034,movie,Posledni zhelaniya,Posledni zhelaniya,0,1983,102,"Comedy,War",6.9,10,Comedy
9576,tt0173697,movie,Broken English,Broken English,0,1981,93,Drama,6.6,19,Drama
9577,tt1283881,movie,The Apology Dance,The Apology Dance,0,2010,78,"Comedy,Romance",4.7,11,Comedy
9578,tt0128711,movie,Teach Me,Teach Me,0,1998,90,"Drama,Romance",4.6,73,Drama
9579,tt1901040,movie,Wrong,Wrong,0,2012,94,"Comedy,Mystery",6.3,9246,Comedy
9580,tt0396857,movie,Shadowboxer,Shadowboxer,0,2005,93,"Action,Crime,Drama",5.5,6502,Action
9581,tt6229830,movie,The Dance with the Devil,Al Raqss Ma El Shaitan,0,1993,100,"Horror,Mystery,Thriller",5.8,51,Horror
